Sentiment,Expression
4,"@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not."
4,"@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) "
4,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!"
4,"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night"
4,"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting."
4,"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def."
4,"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. "
4,"@loltothepower correction, i GOT a badass fringe. "
4,"@procoder hmmm, sure sure  so what r u upto ? hows the day for u?"
4,"@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH "
4,"Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol"
4,"still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... "
4,"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. "
4,"@juneaurock Hellz yeah, definitely downloading. Thanks "
4,"Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! "
4,"@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? "
4,"I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok"
4,"@mattbraga Oh, they can stay. You on the other hand... "
4,"going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings."
4,"India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too "
4,"@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though."
4,"@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday "
4,"&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD"
4,"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good "
4,"@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun "
4,"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai "
4,"dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! "
4,"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? "
4,"has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations "
4,"Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. "
4,"@lightblue_82 woo, you won't regret it. "
4,"@markhoppus hey mark, i want to know if the song &quot;Life's So Boring&quot; is really blink 182 , please tell me  doubt been on my head for years"
4,"@Kelly_N_Va by Jordan, I think he's got it!  "
4,"up and running, London calling "
4,"What A Day  I Just Loved It. Sun, Food And My Girls  Cannot Be Beaten. Eyyy! I Bused It Home Tooo Hahaa. Have An Ace Time Darl.  xxxx"
4,"Sleeeeeeeeeep, then an interview tomorrow! Wish me luck "
4,"must sleep, big day tomorrow. two tests AND class registration for next sem. ahh! goodnight, twitterers "
4,"@claire_brewer I've seen one of those aisles in Borders in Oxford. They're... well, tragic "
4,"It's been a while since i have watched the Cosby Show, i forgot how funny it was  BUT CAN'T SLEEP THOUGH grrrrr"
4,"@landrew Hehe, thanks   Was going for the incendiary headline this time "
4,"@SashaKane Um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? "
4,"@cityrat59 lol! you counted 15 times! Yeah, it was a drag today...wasn't sure if my tweets were going out. seems to behave now though "
4,"@thesouthernstar haha... sarapan aja belum kok, udah disamperin sama client di rumah...  "
4,"@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. "
4,"@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... "
4,"http://twitpic.com/2y2tq - So far, it is interesting. "
4,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
4,"@craigsutton     that's a long-time, good for you!   "
4,"@mehulbhuva Good luck, and let me know how it goes! "
4,"@tayswift Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! "
4,"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!"
4,"@Gerry_Butler If it's something you will enjoy and will make you happy, why not do it? "
4,"just discovered tonight that her church is serving breakfast on Easter!  (I'm not sure why this is so exciting, but I suspect the baby...)"
4,"@chazdrums if i know how to do something, and have time... Its so easy to answer "
4,"Wow, the house looks so different...AND OH MY GOD MY DOGGIES "
4,"Ahh, the tedium of fixing broken file links in Inventor.  Good times.  "
4,"@QUEENIE909 hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??"
4,"@dmf71 I should change my name to qoosfr (queen of obscure science fiction references) instead of cbn2, which only 1 person understands. "
4,"@kameelahwrites phew! all that hair, gyal! "
4,"I'm adding my fellow PFers.  Nice to see so many of us here, too! "
4,"@glutenfreegirl  well, I'm doing whatever our neighbor tells us, and if that produces vegetables, I'm cooking them!"
4,"@milagro88 Hi there, Cel.  How are you doing today?"
4,"@Chubbx Goooooood morning, Chubbx  how are you today?"
4,"@jia_zhen it's an odd little thing isn't it, 'is it from another planet?'.... but i think i like it "
4,"amidst all these recession talks, my friend told me yesterday that she got a pay hike  it sure is a nice to hear that."
4,"@robgokeemusic I know - I should have made some, taken them to my meetings &amp; I should have foreseen my sister was going 2 pick up a stray "
4,"I missed twitter, ym, multiply and PET SOCIETY. I haven't been able to use the internet because I was quite busy for the past few days. "
4,"@mileycyrus Juz watchin' 3 eps. of your show HM, I must say I instantly became a fan of urs! ;D Lovin' ur humor so mucho! More power 2 u! "
4,"Finally made my map of Panama. &quot;What's a Panama, is that like an animal?&quot; Haha love my friends "
4,"will be part of my friend's wedding entourage. In Tagalog, abay sa kasal. I'll be carrying the veil. Thanks, Mau. "
4,"@Bern_morley it's the weather, petal. don't sweat it ... oh ...  ... sorry ... "
4,"Whoops, sorry to anyone trying to email me earlier today. My inbox was full but should now be empty "
4,"Studying philosophy and math... &lt;----BLAH aka listening to music and on twitter, facebook, and myspace "
4,"@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? "
4,"@JonathanRKnight Don't worry about it, we are just happy to have you on here! "
4,"@suplada I'll get those stuff fr the UK/Japan. If I'm desperate enough for headphones from the US, I might do JAC. My tita can be slow. "
4,"@jennmae awesome.  home from work around 430, and then have to take the puppy out, then to Capones. "
4,"@JonathanRKnight Hey Jon we all love ya and understand,that's all it counts  "
4,"If I can make it to bed without running into a wall or tripping over my own feet, that is. Heh. "
4,"@mayhemstudios Yes, using it for 3 week now. Pretty happy with the result "
4,"Love having access to a research machine with 4 quad core 64 bit opterons, and 60 gigs of ram "
4,"It was quick, but exhausting. 1 day @ a time "
4,"@HuntersMama1985 LOL, I was thinking the same thing "
4,"@JonathanRKnight Don't feel pressured, none of us EXPECT a reply back, we're just happy to be able to listen to you talk  "
4,"@KourtneyKardash i hate morn workouts bc i love to sleep late  ha have fun in mexico! love the show, is the trip gonna air on keeping up?"
4,"i'm feeling somewhat artistic...time to break out the sketching pad, i feel a new dress design coming "
4,"@ma_shinka go on, Mary's listening "
4,"...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep."
4,"new jersey, here i come "
4,"@Vonster good point, 2 draw  2 don't  nice quote though. I like that."
4,"@danielkirkley Lead Me To The Cross is one of my favorites!! Great job, D!!! "
4,"When you just want things to end, remember to have faith because one day, it's all going to be alright "
4,"@tothepc Did you check out http://www.weboword.com We aren't a dictionary, but we are all about Visual Vocabulary!  Come have fun."
4,"A je kak�en rip od Trenutek resnice? Link, link, link "
4,"well tweeps, im off, i gotta have a shower then go get a haircut. good bye everyone "
4,"juggernaut, dr. doom, magneto, &amp; xavier!  ahahah today was a good day n__n"
4,"Denise, I love you. "
4,"Happy Morning, la toat? lumea!  "
4,"Played @ gpokr.com, busted some n00b arses  waiting for pokerstars freeroll to begin and having coffeeeeeee!!!"
4,"@honey_honeybun Aw, thanks...let's hope so! I am more worried about Geoff's teeth! Hope you are having a good day, H or HB. "
4,"@esotericsean heh, thanks for advertising my skills "
4,"@javajive humm, the iStore had alot of similiar reqs. Maybe you should head their way "
4,"@Steve_Buscemi And the weather in England, at this hour of the morning (6:47 am) is cool, gloomy &amp; crap. YOU have a nice day, mate! "
4,"@DonnieWahlberg Yessirrr! Don't give anyone that much power, do what makes you happy...that's why I'll be seeing you in da summah!! "
4,"I'm up. quite... err, early. My colleague &amp; i are off for outfit hunting. Need some new gowns. Gonna leave my 2 big babies sleeping. "
4,"Amazing night in Dallas with my Advanced TV Production class  Happy Birhtday, Sam!!"
4,"@DaveLindquist casting director called me today, she's wicked excited &amp; is presenting us to the producers. I'll let you know when I know "
4,"just gott homeee, sawww the haunting off conetticuttt. haha SCARYYY!  going to florida on thursdayyy! &lt;3"
4,"@ddlovato heydemi  whats up? haha, i just wanted to say i love you music and your a really talented person. love to hear from you &lt;3"
4,"@milagro88 LOL! That's ok. Yeah, we did.  He's looking forward to Thursday since we're going around for Visita Iglesia. 14 churches!"
4,"Tune Hotels, has opened bookings for brand new rooms in its upcoming new hotels in Kuching. "
4,"@HeatherSullivan and, by the way, thanks for helping me define that better. "
4,"@MrSabur sweet, thank you "
4,"@anaperiodista still its fun to go out there. im jealous, you were at Wrigley field though., i might have to go out there this summer "
4,"@LBheart_Jessica Yes... I'm going to Kenya in August for 10 days w/ Tumaini International, loving on cute AIDS orphans. SO excited! "
4,"called my hunnybunny, and i miss her already!  night lova'!"
4,"@willkuhn Granular synth tutorial = cute  Oh, and very informative, too."
4,"@paul_e_wog haha, I dunno about the gay..I read it more in a Strong Bad voice. "
4,"Hungry! Hungry hungry hungry. Starvin' like Marvin. Only, he isn't starvin' anymore, I just fed him his nightly fish-food "
4,"@jennifermf totally know what u mean!this late night stuff has been 2 my detriment 4 YEARS,lol;society is discriminatory toward night ppl "
4,"@azmamakim Now I get to take Ash to and from school   Mornings will be crazy, but my kiddos will love it!"
4,"@Bncngoffthwlls Like the ones i have now, but am willing to look at other ones "
4,"@CheapyD sweet, new episode of cagcast, thnx cheapy "
4,"Boredum.. can be, well.... boring. lol Still figuring out twitter.. HI Mitchel... lol sorry im bugging you but i only have 3 peeps so far "
4,"@Lee_Knight lmao! thanks Lee XD, would u like to join in our craziness as well lolol  ROFL come &amp; join we don't bite.. not hard anyway! ;)"
4,"@Skiddybabyyy baha. leave it to them to start a fight ,, grr, oh well atleast it makes for amazing entertainment "
4,"@ddlovato , i lovee you  check out hermans hermits. old, but classic group  i got like 4 of their songs stuck in my head  reply? &lt;3"
4,"@briancrouch yeah, you and i are both rockin' bothell. maybe i'll see you at the next event or fred meyer's or something "
4,"@JonathanRKnight HOWEVER, I'm NOT turning status updates on 4 u becuz I have insomnia &amp; u'll just wake me up. Only D is allowed 2 do that "
4,"@jessewilson I just wasted 2 hours, when all I needed was that null  Thanks heaps - it works perfectly now."
4,"soon, i'm going to bed "
4,"Coding on my Hp Mini 1000, I had said I won't this but this keyboard doesn't hurts  "
4,"@abigaillovesyou LOL, well, that happens. But its worth it.  You've got me wanting to make a midnight run to the convenience store."
4,"@GhostTheory sorry, I'm a little late on this response to the 'sample of EVP question'... which one are you referring to?   J"
4,"@point_moot Odd, I was just listening to the scotch_mist version of &quot;15 Step&quot; when you replied. "
4,"@KnightOwl89 Sounds good,  I wish i could have done it but I'm determined to find them in the park. They better be in there!"
4,"@WeTheTRAVIS &quot;Don't Speak Liar&quot; is my favorite of your songs, I'm looking forward to hearing it in Orlando  Get well soon!  ((((hugs))))"
4,"@StacieLane Oh...well, never mind then.  lol But what if a guy you really liked had a mama like that?"
4,"Nooning The Wedding and Old Man Sharted and throwing moon pies as we venture to Macon, Georgia "
4,"@RyanStar  Hey Ryan, just thought I'd say that u put on a great show in Radford Sunday night, &amp; I'm so glad I got to meet you! "
4,"@GABBYiSACTiVE mmmmmm coffee please, LOL "
4,"@tweetshrink Hah, yea, I suppose ;)  And I love the customer service!! "
4,"@aiorselvar A brand spanking new Aior, to boot "
4,"going to the sunshine coast on Thursday  should be pretty awesome, i can update my tan "
4,"Packing, then airport off to Alaska  Please don't lose my luggage AlaskaAir!!!"
4,"@ryuuenx no the other guys you mentioned, haha  its cool ive been posting up random stuff for the past hour&amp; been getting a kick out of it"
4,"@SilkCharm re: #nbn as someone already said, does fiber to the home mean we will all at least be regular now "
4,"almost late for work had ten minutes to get ready, the lack of sleep had it's consequences. factory on friday. beachbar on sunday "
4,"@joycekim haha, I have not told him yet. "
4,"well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. "
4,"I'm too much of a twitter lurk to use this. I will anyway, though. "
4,"@hertbeat it is still only 1st coffee of the day for me ! Happy Tuesday, off to see Jeff Dunham and Achmed the dead terrorist tonight ! "
4,"WOAH! Have never been so stoked, Ive just found out a way to move to London next year instead of in three  Im so happpy."
4,"I was watching Pride and Prejudice, one of the  best movies ever, I love this movie! and the book too "
4,"Up early again. Work today, off tomorrow, course Thursday, off Friday. So not so bad! "
4,"Trying something new.  New job, new hopes, dreams.... "
4,"@Kelly_N_Va I got your tweets!  Sorry, I was distracted by two heavenly bodies.  "
4,"@GinaDeAngelo ha, definitely not vegan. I'm drinking it, still alive too. All is well "
4,"@stonedi Awww, you're so sweet. Thank you for the compliment "
4,"@comeagainjen hey x] just wanted to say your awesome, and angilena or however your spell it has nothing on you "
4,"@comeagainjen if you dont, neither do i "
4,"@nicolerichie absolutely, my sister used to pretend she was Anne! "
4,"Night, Tweeties...see y'all tomorrow!  "
4,"@DefyGravity81 damn B, espanol and francais? you are one talented lady "
4,"@nicolerichie YES! lol...when you live in canada, anne part of your childhood. I grew up with all the books and tv series "
4,"@therealnph Hey NPH, whats up with all the strippers you're following? "
4,"Friend just asked me to be his Best Man. Guess that means a trip to Twin Falls, ID next year  What are the responsibilities of a Best Man?"
4,"stage 1 is just about 100% complete. Naw to wait a few days fo stages 2-4 to come, then BAM! Ill have the hottest hair in z world. "
4,"@butterflyb I must have had a dozen throat coats a few days ago. Ahhh, the Coat. That and Grand Marnier do wonders for me "
4,"received my bday parcel from home! n now i can hav my tang hun, mee sua, udong mee, ligo raisin, ba hu...... "
4,"Just published a new post on my blog, 15 Neat Print and Use Freebies http://twurl.nl/w1kpvd  "
4,"Whatta mess! We should have won this! Anyways, not bad after all! We won another series abroad. "
4,"@trentvanegas twitter ain't broke, Trent, they got plenty of dough "
4,"just said bye to Rose. :/ On the upside, we've been together for eleven months. "
4,"@heidimontag Glad I could do my part! 1/185k worth...If you'd like to help me Conquer Twitter, I'd be grateful @jazf or http://jazf.com "
4,"ready for nice weather, day drinking &amp; not to ever be a student again "
4,"@nick_carter you are my IDOL, i love you!  you should reply to me.. &lt;3"
4,"Holy he'll, just had an epic Aporto burger with epic amounts of chilli sauce "
4,"@hwaiting oh it's a random game lol im addicted with that, don't be afraid, join and be my pupil "
4,"haha, jeffree star's comment to me didnt make since but i still luv him. i am like wide awake and freezing! listening to lady gaga "
4,"By the way... I never imagined that I'd have 111 followers. Thank you all, even the robots "
4,"my body's aching to rest, my mind's so freakin alert, my brain can't absorb a damn thing. but i must endure............ sike. gnite "
4,"@paulfeig the internet blows my mind everyday, the way nothing else can! "
4,"@hassox no, but that sounds like a good idea, steve. "
4,"@OkieAnnie It's never too late!  Thanks! It was hard, so hard, to concentrate on taking screencaps"
4,"should be in bed, but whatever "
4,"@ThePartyScene  &quot;you dream in black and white, i dream in vivid lights.&quot;"
4,"@ballookey Recoil pal? I'm a guy like me!  I will grab this up online tomorrow, currently texting from bed like a moron."
4,"@shannonelizab Happy Anniversary! As promised, here is your present from all of us at DSFF.  http://www.youtube.com/watch?v=mp1JzFFLMS0"
4,"@Bokul lol... that was a jhoke right ?? Get OpenOffice. Free to download and use  - No cracks, no piracy. Makes M$'s life hell"
4,"@Shantymanfan I got your package! Wow, I'm so excited! My very own one! So, do I plant it in a pot for now, and water it till it grows? "
4,"@arielbh Hope I'm not too late.. anywat, Good luck "
4,"@korionmorris oh no problem  im good, awake, should be sleeping. haha. how about you?"
4,"@yannionline I wonder who directed, there's definitely an ipod commercial in their future. "
4,"@Akelaa Hi sweet heart .. science &amp; cookies go hand in hand   What tweetup, hon?"
4,"@mackmaine just checkin in with you, Saying hello. "
4,"Nice, my contract was extended for another month "
4,"Just published a new post on my blog, 15 Neat Print and Use Freebies http://twurl.nl/w1kpvd   (via @dezignMusings)"
4,"Ok....momentarily diverted. Try this again.  Goodnight, and sweet dreams!    http://www.youtube.com/watch?v=5WCgX4VQp2o"
4,"@Jeff_Sparxxx well in that case, you know what i mean hahaha. i love a good __________. (fill in the blank with the role of your choice.) "
4,"Exhausted. Even so, my bed is super comfy/cuddly  Overall: content."
4,"@josesosa Ah, typical adolescent boy. It's ok, son. You'll see better days. "
4,"Had a great lunch with one of my &quot;mums&quot; today, @christineirmler  It's her birthday tomorrow too so I got her a little something"
4,"@wigsie I do too, but I seemed to have missed this one.   It's a  double feature tonight, On the Waterfront and Casablanca. "
4,"@Laura_McAuliffe errrrr oops, i could possibly me mistaken  i didnt know any Aussies follwed me lol."
4,"i just finished doing my nails, they are electric blue "
4,"@daNanner Yeah, just finished #castle.  Was pretty good. "
4,"@geekmp3 I can, I just have to convince a friend to go with me to sign the paper.   I don't think it's Ultimate or anything fancy, though."
4,"@Matt8U me too. :] maybe i'll see you there? i mean, its not like there are going to be thousands of people anyways. ha. so stoked. "
4,"@mozunk you can do that. just go hover over the tweet in the favorites, then tweet, then favorite. it will unfavorite it. "
4,"@rhifreakx yes yes!  btw, when r u at the airport on friday? My plane's like at 5:00"
4,"Okay, I'm good.  *counts to 10*"
4,"is feeling a little cold, but very very happy about being back home again "
4,"goddamn you Danny, i started your video then realize its 11 fucking minutes, I WANNA GO TO BED!!! lol i do love his Video Diaries though! "
4,"@xallthatjazzx The very night I watched it, I downloaded it to my laptop and am now very tempted to watch it lawl. "
4,"@hiannie Tiger is great, love the voice "
4,"@blueargon I lived the first handful of years of my life in Jacksonville, NC "
4,"@alix_says, it's just like school except there's even more homework and everyone's a lot nicer (normally) "
4,"http://twitpic.com/2y3pg Not what I need for my current project, but THIS is ONE FUN &amp; FUNKY FONT! "
4,"@Jon_Favreau &quot;never worked on a sequel&quot; Maybe that's what we need to have a sequel live up to the first? Either way, can't wait! "
4,"@socalgurl83 LOL nice, thanks for translating "
4,"@Dr_Alli Will Jack EVER die?! He's defied death more times than I can count...dude's got more lives than a cat, lol. "
4,"@MissGoogle Dubai to Montreal, not a big relocation shock is it ? "
4,"@SinnamonS damn, I guess I'll be up for it afterall...for awhile anyway "
4,"@brooklynunion cuz ur 3pm is my 9am and Id be either asleep or airport- bound...  Ima sneak sum'n special in 4u, tho ;-)"
4,"@mileycyrus  milezzzzzz, you are da best &amp; ur music 2. cant wait 4 da hm movie, it will rock   love ya ."
4,"@RobKardashian Rob, Your my fav Kardashian, Please say Hi to me "
4,"hehe, I'm such a dork, but I like my hat anyway.  "
4,"@Staci_Marie I have to go outside to smoke, so I do that all the time. I live next door to a bar so the sounds aren't always soothing lol "
4,"Had an interesting, really random day... I'm glad my friends have found it hilarious... keeps me goinig. "
4,"I wonder what jon thinks when he see's all his tweets, i picture him and jordan busting a nut laughing at us.  oh yeah.. jordan..."
4,"@Hail_Mary_Jane They banned me so I can't help you myself, hopefully others will "
4,"believes i'm a twitter-whore. (twitterers Anonymous), T.A meetings here i come "
4,"@chamillionaire naw naw fuck that son, fuck that, u best respond to every tweet and twit u fuckin get! fuck the studio! fuck your life! "
4,"@MiltyKiss what are the theme songs for each, again? All I know is DBSK's Rising Sun is in it! "
4,"OK, that was good. Totally grooves with a lot of the mythos in the original. &quot;There are those who believe life here began out there...&quot; "
4,"@CuttaC @cocoandbreezy @zillaman @DatBoiBabyC @WRECKAMIC @ and everyone on here reppin Texas and Dallas, Mad Love &lt;3 Good nite y'all "
4,"@GayTwink just for future reference, since i know you plan to message me hourly, its mykl4 with an L not a 1 "
4,"I M La Boheme: NSFW hey guys, spread the word! the green party is in town!  �I...: hey guy.. http://tinyurl.com/dlevo2"
4,"@paulmason10538 Ha-ha, don't you go starting again. I've stopped playing with it now, Mobbler I mean "
4,"REALLY heavy rain, at the top of 18flr building  Splendid."
4,"I'm going so good without myspace, msn and stuff "
4,"@karanbir Excuse me? 3 yrs ago you were all over Subway's nuts  Indian Restaurant, cuz all these years I still haven't been to one."
4,"No much traffic at the vacation time, but the few cars are driving more than crazy. Most germans are very agressive drivers.I miss Canada "
4,"Once, I told him a story about ghosts being in my room.. For days, he talked about being very afraid. This kid knows how to heal himself. "
4,"I'll sleep well tonight.... If the missus doesn't kick me out for being so late home, that is "
4,"What an awesome day   Boy am I grateful &amp; blessed, and I know it."
4,"Progress on the Math Quilt is slow, but steady. Tomorrow I will teach children and finish sewing the Quilt. Then on to my beloved comics "
4,"@ninjen G'Night, youngster. Rest well. "
4,"@janeeTMB thank U so much, you're not late, technically there are 45 mins left in the day since I'm in Cali.  "
4,"@cobaltcow that's so true! Thnx man, that means an awful lot to me "
4,"@mkl4  oops sorry dude, i'll go and get on that.  i'll be looking forward to your tweets "
4,"@mandyblake  I was just about to X out of here for the night and saw your post, I started laughing!  You are funny!!  "
4,"@Eeoor - My pleasure! Let me know if you end up subbing, and what "
4,"@imbanditspal to each her own, I say!  "
4,"ok so the twilight book is pretty addicting, chapter 6, now its time for some sleep.. Good Night Tweeps "
4,"@suitelifeofkell yeah, well, we'll still talk about it, he just wont have any idea  plus i havent even talked ta him bout it yet"
4,"late night mcd's run and back for more homework. ahhh, the life "
4,"i'm thinking i'm blessed that ive a cmputr &amp; a fireplace on ths cold evening. Feeling content, I shall scuttle on off 2 bd  Nite all"
4,"@camillejaiden Dude.  Wow   Now I kind of sort of wished I'd gone, but still ehh.  $35 for 1 band."
4,"Work like you don't need money, Love like you've never been hurt, &amp; dance like no one's watching. Good Night Tweethearts! Till tomo... "
4,"@DanniAsheOnline I think that would work nicely gurl! go for it! I believe many, many people would sign up! "
4,"@rootbeerfloats8 Nah, Gee will reply to me whenever he wishes. His birthday is coming up, so I have something that will make him smile. "
4,"@Natlbug22 aww I'm sorry. Yeah, my work life is becoming... Intense... The sunshine is fabulous  missin you..."
4,"@John_Bishop Oh, TWITTER FOLLOWERS! WOOOOO!  "
4,"@CartBozman don't you worry matey, I'm still around, just trying to juggle podcasting, life, and my Internet life "
4,"@omg_pichu Oh my, who's fighting? *Randomly punches someone in the face* Am I winning? "
4,"@pagankinktress ah yes, I subscribe as well "
4,"@kworkman now that wifey works in a wine shop, I must know what my friends are drinking. Make with the details plz "
4,"@ErinEven Brb, fedexing my application to you! "
4,"@DonnieWahlberg Seriously, you are Donfucious!  "
4,"@Jenn_Brown haha no, i'm going to play some COD 4 now "
4,"Uploading pics from Sunday night out - it was a good night, lots of fun, and I got to know my boyfriend's sister better "
4,"Twidroid installed, lets spam twitter with the g1 google mobile "
4,"@AnnekaF Haha, I'm not that silly I'd need another job first. Got more plans into motion for moving overseas now anyhow "
4,"watching hairspray, as normal :3 I updated my myspace btw, check it out  [check it lauren ;) lmao]"
4,"@TrueGabe yep to the wine, and feijoa sorbet, muffins, chutney etc... we have a large tree  always open to suggestions tho "
4,"Skype for iPhone + VoIPover3G, now we can easily make voice calls over 3G or GRPS/EDGE. Cool stuff, thanks to Open Source community "
4,"@ParkRat It's my view, not yours -- yours is the same "
4,"@ummahfilms bro update your twitter link at youtube, its twitter.com not tweeter.com "
4,"@ellie1971 yes, that�s a good idea!  how late is it at your side of the world?"
4,"Well Twitter, it has been an exciting date for me..  Victorious. I am going to sleep and see you all tomorrow."
4,"@smange Oh France instead? That'd be fine by me, too!  Oh I see... Agen. Nice spot?"
4,"@danthedaddy I love that you &quot;tweeted&quot; Love You, Forever. "
4,"Hi, I'm here. I've been on the phone all day long, catching up with calls, making plans, executing strategy. It's been a very good day. "
4,"@sarakgee  im not sur ehon, im coming with 2 more people, we have like 10 days. How bout ya'll come ot LA? "
