A,B,C,D,AVERAGE
425.0,427.0,52.0,7.0,227.75
346.0,830.0,596.0,326.0,524.5
610.0,236.0,969.0,954.0,692.25
560.0,315.0,265.0,627.0,441.75
387.0,477.0,951.0,958.0,693.25
339.0,710.0,619.0,679.0,586.75
518.0,867.0,301.0,700.0,596.5
721.0,627.0,149.0,838.0,583.75
636.0,952.0,117.0,63.0,442.0
363.0,142.0,303.0,542.0,337.5
342.0,650.0,871.0,235.0,524.5
949.0,220.0,567.0,791.0,631.75
418.0,420.0,263.0,325.0,356.5
977.0,886.0,587.0,276.0,681.5
613.0,287.0,467.0,186.0,388.25
321.0,963.0,302.0,999.0,646.25
981.0,131.0,489.0,382.0,495.75
258.0,931.0,712.0,839.0,685.0
198.0,573.0,285.0,627.0,420.75
264.0,45.0,412.0,938.0,414.75
463.0,347.0,30.0,882.0,430.5
381.0,659.0,576.0,150.0,441.5
450.0,23.0,900.0,901.0,568.5
640.0,370.0,317.0,719.0,511.5
413.0,646.0,53.0,604.0,429.0
229.0,489.0,922.0,290.0,482.5
187.0,278.0,483.0,647.0,398.75
214.0,284.0,927.0,107.0,383.0
595.0,514.0,693.0,777.0,644.75
775.0,369.0,117.0,944.0,551.25
124.0,800.0,213.0,731.0,467.0
591.0,695.0,667.0,523.0,619.0
42.0,859.0,761.0,853.0,628.75
206.0,901.0,954.0,79.0,535.0
841.0,286.0,790.0,995.0,728.0
318.0,473.0,942.0,333.0,516.5
161.0,999.0,869.0,292.0,580.25
502.0,319.0,186.0,581.0,397.0
983.0,198.0,623.0,101.0,476.25
417.0,506.0,451.0,334.0,427.0
705.0,657.0,534.0,218.0,528.5
347.0,972.0,129.0,676.0,531.0
952.0,336.0,596.0,405.0,572.25
5.0,608.0,251.0,168.0,258.0
314.0,799.0,825.0,353.0,572.75
799.0,323.0,149.0,649.0,480.0
444.0,61.0,755.0,784.0,511.0
956.0,693.0,786.0,784.0,804.75
900.0,126.0,156.0,142.0,331.0
750.0,999.0,874.0,188.0,702.75
916.0,817.0,5.0,440.0,544.5
818.0,909.0,843.0,106.0,669.0
72.0,612.0,758.0,985.0,606.75
783.0,425.0,568.0,679.0,613.75
155.0,20.0,776.0,807.0,439.5
33.0,151.0,709.0,814.0,426.75
822.0,994.0,244.0,153.0,553.25
295.0,956.0,176.0,315.0,435.5
494.0,19.0,151.0,225.0,222.25
960.0,495.0,326.0,726.0,626.75
323.0,856.0,421.0,824.0,606.0
863.0,204.0,12.0,925.0,501.0
673.0,383.0,856.0,693.0,651.25
471.0,246.0,200.0,69.0,246.5
308.0,699.0,41.0,485.0,383.25
427.0,673.0,134.0,868.0,525.5
630.0,488.0,666.0,484.0,567.0
442.0,134.0,562.0,485.0,405.75
673.0,148.0,641.0,491.0,488.25
700.0,647.0,627.0,188.0,540.5
278.0,736.0,768.0,203.0,496.25
120.0,465.0,536.0,312.0,358.25
702.0,502.0,272.0,619.0,523.75
841.0,61.0,536.0,419.0,464.25
772.0,621.0,816.0,934.0,785.75
259.0,291.0,742.0,743.0,508.75
864.0,908.0,204.0,269.0,561.25
204.0,873.0,258.0,741.0,519.0
852.0,924.0,3.0,6.0,446.25
373.0,296.0,648.0,545.0,465.5
71.0,30.0,977.0,10.0,272.0
301.0,477.0,264.0,292.0,333.5
711.0,7.0,81.0,4.0,200.75
362.0,182.0,71.0,659.0,318.5
189.0,333.0,269.0,131.0,230.5
541.0,39.0,567.0,521.0,417.0
167.0,493.0,505.0,381.0,386.5
937.0,385.0,118.0,623.0,515.75
197.0,997.0,132.0,624.0,487.5
61.0,26.0,735.0,725.0,386.75
71.0,355.0,726.0,940.0,523.0
798.0,397.0,183.0,252.0,407.5
338.0,802.0,934.0,938.0,753.0
326.0,470.0,461.0,983.0,560.0
287.0,362.0,962.0,194.0,451.25
879.0,881.0,938.0,738.0,859.0
879.0,945.0,924.0,889.0,909.25
764.0,509.0,674.0,487.0,608.5
576.0,935.0,935.0,209.0,663.75
769.0,62.0,252.0,991.0,518.5
766.0,217.0,915.0,888.0,696.5
738.0,196.0,679.0,435.0,512.0
152.0,186.0,201.0,163.0,175.5
768.0,524.0,734.0,645.0,667.75
972.0,365.0,532.0,932.0,700.25
29.0,640.0,564.0,705.0,484.5
686.0,509.0,772.0,27.0,498.5
89.0,902.0,414.0,676.0,520.25
781.0,400.0,571.0,2.0,438.5
363.0,628.0,284.0,115.0,347.5
637.0,63.0,804.0,965.0,617.25
992.0,17.0,276.0,936.0,555.25
364.0,962.0,673.0,244.0,560.75
826.0,75.0,22.0,567.0,372.5
264.0,793.0,788.0,810.0,663.75
893.0,258.0,139.0,90.0,345.0
666.0,388.0,793.0,339.0,546.5
621.0,999.0,815.0,506.0,735.25
65.0,834.0,525.0,705.0,532.25
432.0,390.0,438.0,862.0,530.5
163.0,226.0,700.0,785.0,468.5
786.0,814.0,404.0,321.0,581.25
470.0,26.0,611.0,183.0,322.5
130.0,827.0,565.0,952.0,618.5
801.0,967.0,872.0,998.0,909.5
689.0,890.0,76.0,16.0,417.75
762.0,343.0,944.0,852.0,725.25
307.0,246.0,766.0,46.0,341.25
506.0,214.0,590.0,291.0,400.25
185.0,757.0,533.0,856.0,582.75
766.0,876.0,838.0,226.0,676.5
500.0,857.0,216.0,62.0,408.75
450.0,644.0,585.0,806.0,621.25
750.0,127.0,290.0,283.0,362.5
618.0,367.0,748.0,599.0,583.0
552.0,272.0,41.0,809.0,418.5
30.0,910.0,823.0,149.0,478.0
389.0,785.0,740.0,14.0,482.0
446.0,115.0,149.0,687.0,349.25
650.0,239.0,571.0,410.0,467.5
422.0,81.0,945.0,344.0,448.0
333.0,247.0,602.0,832.0,503.5
228.0,840.0,32.0,561.0,415.25
909.0,200.0,43.0,941.0,523.25
482.0,488.0,687.0,140.0,449.25
742.0,214.0,723.0,994.0,668.25
538.0,509.0,985.0,536.0,642.0
325.0,702.0,56.0,5.0,272.0
579.0,704.0,881.0,184.0,587.0
995.0,30.0,284.0,405.0,428.5
387.0,375.0,521.0,917.0,550.0
934.0,605.0,701.0,130.0,592.5
56.0,148.0,413.0,789.0,351.5
476.0,179.0,210.0,130.0,248.75
304.0,676.0,288.0,437.0,426.25
525.0,820.0,401.0,201.0,486.75
951.0,467.0,999.0,538.0,738.75
251.0,417.0,495.0,701.0,466.0
739.0,272.0,609.0,412.0,508.0
67.0,499.0,288.0,870.0,431.0
42.0,642.0,275.0,154.0,278.25
117.0,421.0,324.0,210.0,268.0
500.0,968.0,704.0,324.0,624.0
120.0,625.0,733.0,730.0,552.0
772.0,627.0,625.0,618.0,660.5
134.0,978.0,660.0,955.0,681.75
935.0,72.0,516.0,460.0,495.75
260.0,339.0,944.0,594.0,534.25
237.0,373.0,809.0,591.0,502.5
264.0,790.0,220.0,495.0,442.25
470.0,368.0,383.0,377.0,399.5
107.0,605.0,266.0,635.0,403.25
916.0,986.0,523.0,439.0,716.0
602.0,355.0,304.0,582.0,460.75
216.0,705.0,923.0,932.0,694.0
500.0,805.0,898.0,241.0,611.0
836.0,68.0,399.0,422.0,431.25
833.0,5.0,82.0,264.0,296.0
859.0,48.0,690.0,933.0,632.5
940.0,177.0,668.0,361.0,536.5
630.0,250.0,858.0,149.0,471.75
846.0,750.0,665.0,761.0,755.5
657.0,711.0,756.0,60.0,546.0
464.0,172.0,248.0,107.0,247.75
954.0,13.0,475.0,971.0,603.25
453.0,875.0,410.0,61.0,449.75
428.0,687.0,165.0,820.0,525.0
145.0,438.0,691.0,777.0,512.75
202.0,638.0,482.0,845.0,541.75
958.0,576.0,359.0,17.0,477.5
170.0,204.0,302.0,271.0,236.75
23.0,173.0,822.0,914.0,483.0
975.0,138.0,3.0,934.0,512.5
767.0,224.0,831.0,918.0,685.0
585.0,736.0,502.0,140.0,490.75
554.0,663.0,321.0,967.0,626.25
384.0,933.0,346.0,936.0,649.75
774.0,238.0,204.0,732.0,487.0
799.0,369.0,707.0,561.0,609.0
781.0,836.0,854.0,87.0,639.5
323.0,161.0,184.0,445.0,278.25
791.0,140.0,232.0,312.0,368.75
172.0,686.0,631.0,723.0,553.0
926.0,63.0,231.0,651.0,467.75
836.0,589.0,511.0,714.0,662.5
392.0,233.0,508.0,557.0,422.5
28.0,873.0,349.0,46.0,324.0
921.0,227.0,162.0,905.0,553.75
308.0,504.0,448.0,94.0,338.5
982.0,398.0,600.0,532.0,628.0
928.0,613.0,470.0,366.0,594.25
749.0,207.0,343.0,415.0,428.5
348.0,676.0,720.0,344.0,522.0
440.0,654.0,190.0,834.0,529.5
653.0,789.0,806.0,974.0,805.5
950.0,932.0,104.0,315.0,575.25
615.0,823.0,106.0,324.0,467.0
769.0,613.0,205.0,885.0,618.0
353.0,439.0,100.0,653.0,386.25
173.0,772.0,820.0,321.0,521.5
578.0,285.0,480.0,528.0,467.75
686.0,757.0,413.0,526.0,595.5
293.0,294.0,325.0,265.0,294.25
348.0,550.0,426.0,606.0,482.5
989.0,326.0,49.0,732.0,524.0
753.0,903.0,384.0,393.0,608.25
574.0,235.0,354.0,681.0,461.0
470.0,635.0,859.0,716.0,670.0
520.0,457.0,118.0,608.0,425.75
761.0,305.0,227.0,396.0,422.25
486.0,700.0,359.0,370.0,478.75
326.0,583.0,4.0,140.0,263.25
427.0,163.0,466.0,269.0,331.25
598.0,217.0,654.0,906.0,593.75
797.0,187.0,233.0,46.0,315.75
723.0,550.0,614.0,346.0,558.25
572.0,29.0,877.0,44.0,380.5
634.0,232.0,219.0,589.0,418.5
970.0,149.0,448.0,860.0,606.75
840.0,151.0,96.0,7.0,273.5
183.0,765.0,822.0,733.0,625.75
762.0,375.0,5.0,70.0,303.0
479.0,592.0,68.0,72.0,302.75
173.0,636.0,461.0,477.0,436.75
778.0,34.0,362.0,657.0,457.75
842.0,985.0,541.0,171.0,634.75
427.0,980.0,225.0,897.0,632.25
308.0,143.0,860.0,124.0,358.75
769.0,751.0,245.0,974.0,684.75
535.0,628.0,862.0,96.0,530.25
967.0,327.0,866.0,806.0,741.5
585.0,173.0,705.0,256.0,429.75
132.0,938.0,429.0,261.0,440.0
981.0,704.0,893.0,323.0,725.25
636.0,702.0,869.0,97.0,576.0
365.0,168.0,629.0,842.0,501.0
145.0,430.0,674.0,882.0,532.75
171.0,26.0,329.0,181.0,176.75
698.0,955.0,643.0,822.0,779.5
484.0,539.0,170.0,107.0,325.0
989.0,747.0,887.0,735.0,839.5
120.0,740.0,404.0,8.0,318.0
725.0,170.0,20.0,555.0,367.5
279.0,975.0,140.0,839.0,558.25
643.0,986.0,439.0,517.0,646.25
704.0,977.0,86.0,638.0,601.25
643.0,778.0,343.0,456.0,555.0
588.0,481.0,635.0,936.0,660.0
911.0,825.0,249.0,215.0,550.0
513.0,958.0,382.0,583.0,609.0
911.0,886.0,849.0,703.0,837.25
39.0,566.0,19.0,226.0,212.5
744.0,371.0,552.0,444.0,527.75
974.0,240.0,788.0,786.0,697.0
425.0,475.0,774.0,464.0,534.5
962.0,906.0,657.0,971.0,874.0
860.0,129.0,360.0,285.0,408.5
864.0,326.0,695.0,541.0,606.5
68.0,534.0,185.0,540.0,331.75
623.0,884.0,608.0,97.0,553.0
646.0,205.0,894.0,386.0,532.75
431.0,708.0,98.0,370.0,401.75
46.0,638.0,794.0,590.0,517.0
624.0,485.0,266.0,619.0,498.5
5.0,288.0,843.0,485.0,405.25
264.0,162.0,234.0,190.0,212.5
552.0,390.0,455.0,983.0,595.0
447.0,496.0,762.0,193.0,474.5
231.0,229.0,934.0,824.0,554.5
897.0,684.0,918.0,540.0,759.75
406.0,370.0,256.0,951.0,495.75
178.0,205.0,960.0,740.0,520.75
369.0,708.0,865.0,967.0,727.25
741.0,721.0,973.0,880.0,828.75
798.0,593.0,49.0,639.0,519.75
17.0,360.0,612.0,538.0,381.75
24.0,543.0,686.0,443.0,424.0
37.0,724.0,718.0,285.0,441.0
260.0,717.0,560.0,792.0,582.25
124.0,276.0,502.0,799.0,425.25
578.0,98.0,262.0,814.0,438.0
457.0,494.0,633.0,285.0,467.25
328.0,855.0,259.0,797.0,559.75
924.0,973.0,481.0,802.0,795.0
561.0,866.0,513.0,85.0,506.25
231.0,759.0,909.0,344.0,560.75
406.0,287.0,74.0,225.0,248.0
53.0,775.0,399.0,287.0,378.5
692.0,536.0,655.0,577.0,615.0
872.0,903.0,260.0,68.0,525.75
895.0,162.0,546.0,91.0,423.5
140.0,619.0,292.0,798.0,462.25
576.0,283.0,113.0,557.0,382.25
356.0,196.0,612.0,286.0,362.5
652.0,636.0,351.0,67.0,426.5
342.0,197.0,372.0,873.0,446.0
283.0,66.0,227.0,506.0,270.5
282.0,353.0,934.0,335.0,476.0
210.0,880.0,886.0,999.0,743.75
585.0,541.0,616.0,451.0,548.25
36.0,33.0,814.0,508.0,347.75
717.0,523.0,202.0,570.0,503.0
929.0,344.0,400.0,727.0,600.0
813.0,993.0,487.0,434.0,681.75
390.0,635.0,229.0,47.0,325.25
3.0,435.0,457.0,460.0,338.75
224.0,990.0,289.0,988.0,622.75
970.0,253.0,175.0,475.0,468.25
500.0,668.0,237.0,58.0,365.75
601.0,461.0,674.0,289.0,506.25
872.0,303.0,262.0,13.0,362.5
80.0,76.0,486.0,318.0,240.0
659.0,520.0,572.0,869.0,655.0
13.0,504.0,721.0,658.0,474.0
108.0,763.0,500.0,688.0,514.75
134.0,446.0,751.0,151.0,370.5
910.0,711.0,878.0,737.0,809.0
47.0,444.0,617.0,122.0,307.5
95.0,84.0,841.0,206.0,306.5
271.0,75.0,335.0,714.0,348.75
744.0,788.0,918.0,48.0,624.5
166.0,787.0,535.0,777.0,566.25
605.0,463.0,408.0,81.0,389.25
897.0,493.0,286.0,721.0,599.25
918.0,730.0,504.0,761.0,728.25
999.0,840.0,126.0,434.0,599.75
996.0,573.0,145.0,101.0,453.75
404.0,722.0,664.0,45.0,458.75
724.0,268.0,629.0,557.0,544.5
624.0,857.0,927.0,223.0,657.75
100.0,435.0,969.0,756.0,565.0
587.0,722.0,779.0,183.0,567.75
4.0,510.0,227.0,794.0,383.75
480.0,954.0,807.0,295.0,634.0
326.0,891.0,59.0,464.0,435.0
312.0,9.0,210.0,529.0,265.0
113.0,451.0,466.0,470.0,375.0
339.0,50.0,788.0,243.0,355.0
113.0,523.0,576.0,329.0,385.25
184.0,365.0,309.0,840.0,424.5
575.0,79.0,155.0,874.0,420.75
202.0,235.0,163.0,597.0,299.25
19.0,941.0,103.0,536.0,399.75
510.0,950.0,856.0,567.0,720.75
805.0,823.0,31.0,968.0,656.75
995.0,742.0,704.0,779.0,805.0
688.0,206.0,603.0,309.0,451.5
251.0,463.0,749.0,660.0,530.75
732.0,984.0,489.0,704.0,727.25
642.0,702.0,876.0,571.0,697.75
26.0,809.0,968.0,582.0,596.25
387.0,6.0,647.0,965.0,501.25
827.0,501.0,137.0,938.0,600.75
458.0,701.0,428.0,711.0,574.5
222.0,439.0,461.0,89.0,302.75
170.0,191.0,142.0,221.0,181.0
911.0,12.0,17.0,51.0,247.75
844.0,343.0,979.0,304.0,617.5
398.0,135.0,963.0,795.0,572.75
166.0,133.0,406.0,435.0,285.0
441.0,58.0,738.0,290.0,381.75
983.0,966.0,418.0,769.0,784.0
925.0,413.0,420.0,364.0,530.5
287.0,237.0,940.0,56.0,380.0
6.0,935.0,375.0,397.0,428.25
964.0,14.0,80.0,767.0,456.25
567.0,320.0,819.0,178.0,471.0
444.0,366.0,430.0,837.0,519.25
568.0,252.0,822.0,815.0,614.25
662.0,571.0,820.0,562.0,653.75
369.0,390.0,90.0,755.0,401.0
407.0,482.0,644.0,45.0,394.5
486.0,412.0,282.0,441.0,405.25
668.0,554.0,159.0,779.0,540.0
722.0,97.0,19.0,677.0,378.75
256.0,621.0,847.0,794.0,629.5
721.0,845.0,477.0,66.0,527.25
226.0,901.0,948.0,491.0,641.5
941.0,662.0,166.0,485.0,563.5
922.0,547.0,751.0,36.0,564.0
750.0,82.0,557.0,383.0,443.0
84.0,207.0,473.0,504.0,317.0
561.0,601.0,402.0,432.0,499.0
335.0,100.0,949.0,578.0,490.5
283.0,737.0,175.0,69.0,316.0
691.0,94.0,800.0,196.0,445.25
160.0,988.0,677.0,116.0,485.25
22.0,159.0,678.0,561.0,355.0
663.0,744.0,431.0,519.0,589.25
738.0,633.0,216.0,741.0,582.0
914.0,502.0,567.0,380.0,590.75
414.0,95.0,666.0,265.0,360.0
657.0,198.0,795.0,972.0,655.5
829.0,193.0,328.0,614.0,491.0
135.0,995.0,527.0,987.0,661.0
885.0,356.0,540.0,224.0,501.25
106.0,722.0,430.0,946.0,551.0
519.0,744.0,701.0,131.0,523.75
489.0,730.0,922.0,518.0,664.75
875.0,980.0,636.0,322.0,703.25
544.0,999.0,709.0,82.0,583.5
790.0,785.0,238.0,929.0,685.5
894.0,306.0,725.0,166.0,522.75
855.0,650.0,353.0,310.0,542.0
720.0,985.0,512.0,676.0,723.25
867.0,963.0,601.0,264.0,673.75
749.0,48.0,688.0,346.0,457.75
978.0,82.0,892.0,985.0,734.25
765.0,727.0,558.0,294.0,586.0
841.0,390.0,616.0,755.0,650.5
603.0,496.0,883.0,512.0,623.5
592.0,632.0,869.0,721.0,703.5
577.0,650.0,743.0,792.0,690.5
704.0,845.0,754.0,824.0,781.75
729.0,764.0,813.0,492.0,699.5
208.0,59.0,475.0,144.0,221.5
556.0,45.0,67.0,767.0,358.75
979.0,841.0,308.0,652.0,695.0
774.0,430.0,118.0,645.0,491.75
941.0,574.0,89.0,859.0,615.75
407.0,652.0,519.0,397.0,493.75
601.0,437.0,560.0,812.0,602.5
879.0,462.0,197.0,501.0,509.75
433.0,407.0,710.0,599.0,537.25
605.0,632.0,48.0,784.0,517.25
378.0,83.0,672.0,277.0,352.5
415.0,458.0,535.0,139.0,386.75
183.0,425.0,646.0,141.0,348.75
715.0,676.0,997.0,428.0,704.0
590.0,649.0,691.0,364.0,573.5
483.0,800.0,476.0,704.0,615.75
162.0,389.0,286.0,815.0,413.0
289.0,168.0,151.0,233.0,210.25
811.0,448.0,576.0,997.0,708.0
238.0,867.0,140.0,982.0,556.75
894.0,582.0,546.0,929.0,737.75
862.0,520.0,733.0,86.0,550.25
208.0,429.0,784.0,45.0,366.5
889.0,185.0,129.0,910.0,528.25
135.0,715.0,689.0,813.0,588.0
463.0,241.0,166.0,78.0,237.0
937.0,190.0,980.0,572.0,669.75
112.0,759.0,359.0,132.0,340.5
306.0,149.0,722.0,590.0,441.75
141.0,110.0,625.0,378.0,313.5
146.0,902.0,148.0,887.0,520.75
454.0,615.0,701.0,697.0,616.75
188.0,488.0,342.0,423.0,360.25
927.0,105.0,765.0,124.0,480.25
886.0,968.0,403.0,847.0,776.0
979.0,46.0,309.0,100.0,358.5
413.0,91.0,52.0,245.0,200.25
79.0,74.0,514.0,907.0,393.5
3.0,321.0,195.0,72.0,147.75
805.0,345.0,61.0,8.0,304.75
193.0,237.0,37.0,393.0,215.0
927.0,299.0,256.0,668.0,537.5
190.0,163.0,167.0,854.0,343.5
554.0,125.0,149.0,448.0,319.0
330.0,674.0,397.0,953.0,588.5
220.0,992.0,869.0,163.0,561.0
91.0,184.0,778.0,656.0,427.25
58.0,161.0,863.0,586.0,417.0
568.0,9.0,906.0,269.0,438.0
881.0,980.0,979.0,751.0,897.75
712.0,795.0,820.0,660.0,746.75
466.0,188.0,407.0,480.0,385.25
109.0,329.0,369.0,193.0,250.0
613.0,83.0,580.0,153.0,357.25
268.0,95.0,35.0,934.0,333.0
391.0,577.0,455.0,444.0,466.75
444.0,681.0,998.0,916.0,759.75
680.0,41.0,258.0,522.0,375.25
195.0,919.0,79.0,184.0,344.25
643.0,594.0,116.0,777.0,532.5
844.0,45.0,745.0,469.0,525.75
468.0,74.0,98.0,930.0,392.5
646.0,685.0,598.0,751.0,670.0
735.0,892.0,872.0,467.0,741.5
950.0,992.0,895.0,616.0,863.25
115.0,361.0,375.0,261.0,278.0
373.0,22.0,675.0,374.0,361.0
812.0,327.0,861.0,154.0,538.5
706.0,10.0,837.0,715.0,567.0
230.0,66.0,363.0,153.0,203.0
133.0,690.0,772.0,495.0,522.5
621.0,54.0,878.0,977.0,632.5
958.0,463.0,129.0,203.0,438.25
470.0,444.0,385.0,719.0,504.5
328.0,102.0,1.0,779.0,302.5
333.0,407.0,78.0,218.0,259.0
605.0,190.0,955.0,155.0,476.25
994.0,730.0,655.0,942.0,830.25
749.0,614.0,672.0,778.0,703.25
984.0,85.0,152.0,873.0,523.5
992.0,291.0,406.0,6.0,423.75
171.0,624.0,88.0,703.0,396.5
687.0,12.0,192.0,665.0,389.0
937.0,479.0,195.0,822.0,608.25
