A,B,C,D,AVERAGE
981,704,893,323,725.25
636,702,869,97,576
365,168,629,842,501
145,430,674,882,532.75
171,26,329,181,176.75
698,955,643,822,779.5
484,539,170,107,325
989,747,887,735,839.5
120,740,404,8,318
725,170,20,555,367.5
279,975,140,839,558.25
643,986,439,517,646.25
704,977,86,638,601.25
643,778,343,456,555
588,481,635,936,660
911,825,249,215,550
513,958,382,583,609
911,886,849,703,837.25
39,566,19,226,212.5
744,371,552,444,527.75
974,240,788,786,697
425,475,774,464,534.5
962,906,657,971,874
860,129,360,285,408.5
864,326,695,541,606.5
68,534,185,540,331.75
623,884,608,97,553
646,205,894,386,532.75
431,708,98,370,401.75
46,638,794,590,517
624,485,266,619,498.5
5,288,843,485,405.25
264,162,234,190,212.5
552,390,455,983,595
447,496,762,193,474.5
231,229,934,824,554.5
897,684,918,540,759.75
406,370,256,951,495.75
178,205,960,740,520.75
369,708,865,967,727.25
741,721,973,880,828.75
798,593,49,639,519.75
17,360,612,538,381.75
24,543,686,443,424
37,724,718,285,441
260,717,560,792,582.25
124,276,502,799,425.25
578,98,262,814,438
457,494,633,285,467.25
328,855,259,797,559.75
924,973,481,802,795
561,866,513,85,506.25
231,759,909,344,560.75
406,287,74,225,248
53,775,399,287,378.5
692,536,655,577,615
872,903,260,68,525.75
895,162,546,91,423.5
140,619,292,798,462.25
576,283,113,557,382.25
356,196,612,286,362.5
652,636,351,67,426.5
342,197,372,873,446
283,66,227,506,270.5
282,353,934,335,476
210,880,886,999,743.75
585,541,616,451,548.25
36,33,814,508,347.75
717,523,202,570,503
929,344,400,727,600
813,993,487,434,681.75
390,635,229,47,325.25
3,435,457,460,338.75
224,990,289,988,622.75
970,253,175,475,468.25
500,668,237,58,365.75
601,461,674,289,506.25
872,303,262,13,362.5
80,76,486,318,240
659,520,572,869,655
13,504,721,658,474
108,763,500,688,514.75
134,446,751,151,370.5
910,711,878,737,809
47,444,617,122,307.5
95,84,841,206,306.5
271,75,335,714,348.75
744,788,918,48,624.5
166,787,535,777,566.25
605,463,408,81,389.25
897,493,286,721,599.25
918,730,504,761,728.25
999,840,126,434,599.75
996,573,145,101,453.75
404,722,664,45,458.75
724,268,629,557,544.5
624,857,927,223,657.75
100,435,969,756,565
587,722,779,183,567.75
4,510,227,794,383.75
480,954,807,295,634
326,891,59,464,435
312,9,210,529,265
113,451,466,470,375
339,50,788,243,355
113,523,576,329,385.25
184,365,309,840,424.5
575,79,155,874,420.75
202,235,163,597,299.25
19,941,103,536,399.75
510,950,856,567,720.75
805,823,31,968,656.75
995,742,704,779,805
688,206,603,309,451.5
251,463,749,660,530.75
732,984,489,704,727.25
642,702,876,571,697.75
26,809,968,582,596.25
387,6,647,965,501.25
827,501,137,938,600.75
458,701,428,711,574.5
222,439,461,89,302.75
170,191,142,221,181
911,12,17,51,247.75
844,343,979,304,617.5
398,135,963,795,572.75
166,133,406,435,285
441,58,738,290,381.75
983,966,418,769,784
925,413,420,364,530.5
287,237,940,56,380
6,935,375,397,428.25
964,14,80,767,456.25
567,320,819,178,471
444,366,430,837,519.25
568,252,822,815,614.25
662,571,820,562,653.75
369,390,90,755,401
407,482,644,45,394.5
486,412,282,441,405.25
668,554,159,779,540
722,97,19,677,378.75
256,621,847,794,629.5
721,845,477,66,527.25
226,901,948,491,641.5
941,662,166,485,563.5
922,547,751,36,564
750,82,557,383,443
84,207,473,504,317
561,601,402,432,499
335,100,949,578,490.5
283,737,175,69,316
691,94,800,196,445.25
160,988,677,116,485.25
22,159,678,561,355
663,744,431,519,589.25
738,633,216,741,582
914,502,567,380,590.75
414,95,666,265,360
657,198,795,972,655.5
829,193,328,614,491
135,995,527,987,661
885,356,540,224,501.25
106,722,430,946,551
519,744,701,131,523.75
489,730,922,518,664.75
875,980,636,322,703.25
544,999,709,82,583.5
790,785,238,929,685.5
894,306,725,166,522.75
855,650,353,310,542
720,985,512,676,723.25
867,963,601,264,673.75
749,48,688,346,457.75
978,82,892,985,734.25
765,727,558,294,586
841,390,616,755,650.5
603,496,883,512,623.5
592,632,869,721,703.5
577,650,743,792,690.5
704,845,754,824,781.75
729,764,813,492,699.5
208,59,475,144,221.5
556,45,67,767,358.75
979,841,308,652,695
774,430,118,645,491.75
941,574,89,859,615.75
407,652,519,397,493.75
601,437,560,812,602.5
879,462,197,501,509.75
433,407,710,599,537.25
605,632,48,784,517.25
378,83,672,277,352.5
415,458,535,139,386.75
183,425,646,141,348.75
715,676,997,428,704
590,649,691,364,573.5
483,800,476,704,615.75
162,389,286,815,413
289,168,151,233,210.25
811,448,576,997,708
238,867,140,982,556.75
894,582,546,929,737.75
862,520,733,86,550.25
208,429,784,45,366.5
889,185,129,910,528.25
135,715,689,813,588
463,241,166,78,237
937,190,980,572,669.75
112,759,359,132,340.5
306,149,722,590,441.75
141,110,625,378,313.5
146,902,148,887,520.75
454,615,701,697,616.75
188,488,342,423,360.25
927,105,765,124,480.25
886,968,403,847,776
979,46,309,100,358.5
413,91,52,245,200.25
79,74,514,907,393.5
3,321,195,72,147.75
805,345,61,8,304.75
193,237,37,393,215
927,299,256,668,537.5
190,163,167,854,343.5
554,125,149,448,319
330,674,397,953,588.5
220,992,869,163,561
91,184,778,656,427.25
58,161,863,586,417
568,9,906,269,438
881,980,979,751,897.75
712,795,820,660,746.75
466,188,407,480,385.25
109,329,369,193,250
613,83,580,153,357.25
268,95,35,934,333
391,577,455,444,466.75
444,681,998,916,759.75
680,41,258,522,375.25
195,919,79,184,344.25
643,594,116,777,532.5
844,45,745,469,525.75
468,74,98,930,392.5
646,685,598,751,670
735,892,872,467,741.5
950,992,895,616,863.25
115,361,375,261,278
373,22,675,374,361
812,327,861,154,538.5
706,10,837,715,567
230,66,363,153,203
133,690,772,495,522.5
621,54,878,977,632.5
958,463,129,203,438.25
470,444,385,719,504.5
328,102,1,779,302.5
333,407,78,218,259
605,190,955,155,476.25
994,730,655,942,830.25
749,614,672,778,703.25
984,85,152,873,523.5
992,291,406,6,423.75
171,624,88,703,396.5
687,12,192,665,389
937,479,195,822,608.25
289,719,834,903,686.25
944,295,880,589,677
922,567,284,999,693
845,342,997,433,654.25
805,40,63,675,395.75
367,287,85,620,339.75
641,107,396,683,456.75
795,270,222,48,333.75
492,193,811,985,620.25
602,867,338,751,639.5
289,138,403,16,211.5
506,179,381,443,377.25
452,123,503,630,427
43,673,403,710,457.25
982,987,928,654,887.75
270,362,815,958,601.25
100,746,994,674,628.5
777,536,507,513,583.25
954,22,537,776,572.25
347,650,238,790,506.25
816,462,380,765,605.75
146,987,294,129,389
369,919,998,950,809
614,245,81,420,340
75,661,637,646,504.75
100,568,19,687,343.5
493,559,795,212,514.75
104,581,791,976,613
960,776,817,683,809
916,439,620,844,704.75
975,144,655,320,523.5
475,488,226,45,308.5
24,505,717,505,437.75
159,554,198,1,228
27,881,664,457,507.25
772,971,338,163,561
362,55,304,896,404.25
72,898,818,218,501.5
422,856,632,730,660
32,540,44,603,304.75
811,857,748,14,607.5
678,606,563,786,658.25
942,629,610,968,787.25
381,760,151,432,431
721,791,489,632,658.25
590,85,675,142,373
77,287,915,952,557.75
368,220,627,397,403
91,658,688,552,497.25
566,644,391,936,634.25
770,142,228,254,348.5
337,518,89,710,413.5
531,358,25,939,463.25
389,860,867,261,594.25
569,502,903,950,731
806,912,681,776,793.75
37,428,976,873,578.5
82,792,941,879,673.5
27,643,617,736,505.75
604,292,330,171,349.25
223,369,940,180,428
33,530,818,778,539.75
505,686,980,250,605.25
88,435,199,842,391
750,147,622,667,546.5
965,58,538,516,519.25
665,733,483,937,704.5
37,784,370,130,330.25
747,78,159,875,464.75
659,987,765,143,638.5
413,595,90,903,500.25
832,864,802,356,713.5
831,290,365,375,465.25
7,427,286,31,187.75
230,905,170,89,348.5
822,988,7,746,640.75
379,725,582,727,603.25
852,317,620,507,574
125,874,171,384,388.5
245,813,54,336,362
867,770,436,565,659.5
383,431,419,461,423.5
553,748,75,254,407.5
759,524,164,66,378.25
991,704,455,21,542.75
651,194,500,205,387.5
833,164,330,87,353.5
104,390,609,924,506.75
482,760,102,393,434.25
595,938,36,539,527
62,461,132,541,299
641,404,571,173,447.25
91,98,355,733,319.25
161,781,306,909,539.25
802,483,108,925,579.5
751,351,253,285,410
845,601,90,609,536.25
541,499,608,983,657.75
858,556,88,138,410
932,304,718,622,644
624,378,193,638,458.25
967,936,109,678,672.5
147,311,233,174,216.25
424,976,80,822,575.5
604,452,893,85,508.5
223,156,238,231,212
977,763,803,678,805.25
414,537,690,473,528.5
388,588,986,220,545.5
684,122,164,567,384.25
102,215,301,468,271.5
510,686,845,509,637.5
852,67,737,71,431.75
684,895,543,338,615
821,68,970,772,657.75
55,795,825,60,433.75
718,133,491,353,423.75
178,71,453,189,222.75
375,212,439,671,424.25
164,413,91,993,415.25
861,854,544,932,797.75
608,696,697,991,748
854,320,883,498,638.75
83,953,578,609,555.75
949,571,30,330,470
2,505,869,494,467.5
854,220,441,132,411.75
505,795,17,999,579
409,212,926,484,507.75
315,113,605,973,501.5
295,726,104,57,295.5
650,400,103,137,322.5
358,5,339,705,351.75
330,133,736,664,465.75
357,545,102,95,274.75
374,310,846,96,406.5
548,531,491,398,492
566,170,72,516,331
903,82,433,503,480.25
952,613,870,787,805.5
82,505,381,467,358.75
536,446,748,787,629.25
915,925,218,11,517.25
620,516,844,781,690.25
721,255,125,47,287
997,430,313,844,646
791,454,713,492,612.5
757,298,234,606,473.75
25,909,637,605,544
207,380,260,252,274.75
177,147,23,114,115.25
464,82,18,922,371.5
747,560,570,669,636.5
845,405,968,179,599.25
526,730,173,954,595.75
23,271,676,379,337.25
0,919,76,630,406.25
221,21,274,459,243.75
198,697,114,393,350.5
741,477,497,107,455.5
173,233,580,90,269
520,755,417,245,484.25
573,191,167,695,406.5
572,600,169,391,433
390,226,339,375,332.5
64,164,889,716,458.25
372,618,361,505,464
653,452,574,245,481
584,682,306,98,417.5
642,823,18,356,459.75
674,434,854,68,507.5
426,520,374,810,532.5
816,764,550,506,659
582,769,244,243,459.5
60,818,962,835,668.75
323,641,516,198,419.5
661,422,500,414,499.25
262,824,620,623,582.25
347,331,335,770,445.75
191,756,171,463,395.25
54,384,677,281,349
203,982,62,207,363.5
958,3,502,975,609.5
880,68,936,612,624
454,653,750,276,533.25
532,665,902,222,580.25
747,552,964,475,684.5
410,72,364,996,460.5
816,968,498,799,770.25
72,967,706,439,546
185,656,475,287,400.75
770,438,38,569,453.75
423,77,557,391,362
504,879,679,416,619.5
701,180,593,379,463.25
928,4,876,655,615.75
341,664,495,518,504.5
988,541,752,849,782.5
159,275,149,174,189.25
755,110,28,270,290.75
889,328,267,734,554.5
932,433,499,212,519
33,134,721,695,395.75
126,175,857,997,538.75
479,827,160,271,434.25
485,423,131,795,458.5
848,209,452,697,551.5
110,947,382,881,580
657,680,906,3,561.5
759,386,623,675,610.75
563,629,711,820,680.75
278,587,501,326,423
401,812,265,93,392.75
276,472,553,438,434.75
116,523,947,534,530
573,382,345,370,417.5
437,874,739,154,551
327,4,666,726,430.75
651,286,127,625,422.25
62,639,569,271,385.25
771,464,504,812,637.75
329,632,567,330,464.5
423,200,937,959,629.75
119,429,167,899,403.5
770,712,919,884,821.25
341,786,830,19,494
384,455,575,3,354.25
802,738,871,511,730.5
460,472,830,158,480
643,521,71,248,370.75
671,694,914,623,725.5
465,545,426,542,494.5
245,929,62,30,316.5
951,443,292,579,566.25
107,179,3,277,141.5
978,401,212,495,521.5
533,789,205,268,448.75
669,656,825,194,586
744,633,835,485,674.25
946,744,980,645,828.75
36,7,680,321,261
700,698,733,272,600.75
481,310,851,938,645
479,872,830,488,667.25
855,352,61,120,347
400,610,291,777,519.5
892,408,794,605,674.75
464,511,295,754,506
992,638,229,925,696
408,297,73,37,203.75
238,943,29,712,480.5
103,785,444,697,507.25
714,180,519,665,519.5
143,248,364,183,234.5
799,771,135,877,645.5
908,725,656,747,759
83,693,205,511,373
969,26,244,290,382.25
917,848,789,355,727.25
626,142,402,460,407.5
685,920,571,321,624.25
381,989,467,760,649.25
7,47,961,897,478
901,133,696,497,556.75
913,675,941,1,632.5
691,199,953,893,684
873,667,693,206,609.75
309,611,867,235,505.5
863,607,460,870,700
980,611,149,3,435.75
575,960,159,651,586.25
452,339,681,539,502.75
732,627,86,125,392.5
479,323,38,523,340.75
187,858,44,767,464
823,840,959,550,793
865,689,335,595,621
958,204,67,129,339.5
826,76,460,461,455.75
865,452,427,63,451.75
336,151,862,699,512
634,740,728,944,761.5
5,249,117,241,153
944,277,903,886,752.5
426,203,941,835,601.25
588,947,498,366,599.75
223,320,105,647,323.75
432,407,387,558,446
672,192,265,679,452
780,962,286,277,576.25
507,162,816,81,391.5
549,553,115,228,361.25
406,915,225,773,579.75
667,8,33,50,189.5
61,242,349,331,245.75
891,351,277,951,617.5
819,548,421,968,689
897,444,771,881,748.25
207,513,686,609,503.75
804,48,382,376,402.5
358,754,855,894,715.25
637,966,551,567,680.25
709,252,77,271,327.25
15,657,132,880,421
401,902,785,924,753
76,15,640,632,340.75
687,844,379,852,690.5
961,864,892,124,710.25
226,579,543,187,383.75
456,16,280,932,421
280,246,885,665,519
619,374,923,776,673
562,185,296,22,266.25
616,123,975,976,672.5
539,735,588,832,673.5
201,901,903,83,522
389,313,117,902,430.25
373,844,222,465,476
328,965,765,901,739.75
772,557,405,808,635.5
788,228,969,838,705.75
437,458,964,233,523
855,128,936,663,645.5
769,93,653,576,522.75
797,345,895,205,560.5
206,582,114,254,289
346,116,887,76,356.25
887,954,424,307,643
268,73,41,446,207
382,385,868,290,481.25
663,733,458,177,507.75
469,783,110,16,344.5
448,660,984,366,614.5
13,894,61,840,452
212,746,253,350,390.25
883,526,224,479,528
511,381,586,860,584.5
388,198,821,837,561
824,801,110,988,680.75
823,407,686,44,490
368,836,352,40,399
274,943,158,677,513
189,251,269,975,421
454,687,393,955,622.25
891,506,633,481,627.75
531,18,345,604,374.5
349,816,864,960,747.25
753,337,117,628,458.75
881,277,367,88,403.25
352,80,887,543,465.5
74,769,438,627,477
878,318,716,867,694.75
8,449,154,532,285.75
820,398,784,328,582.5
196,704,817,462,544.75
538,154,790,16,374.5
172,759,603,337,467.75
900,607,526,670,675.75
746,994,382,752,718.5
748,503,589,632,618
269,20,873,306,367
543,506,314,202,391.25
321,183,108,385,249.25
500,57,927,179,415.75
883,135,615,126,439.75
591,696,879,196,590.5
294,528,820,107,437.25
442,58,59,460,254.75
703,865,818,692,769.5
656,54,847,920,619.25
432,179,333,315,314.75
624,558,792,844,704.5
667,779,686,694,706.5
264,555,772,959,637.5
370,279,487,58,298.5
325,842,787,639,648.25
126,713,49,675,390.75
920,807,81,585,598.25
122,909,191,409,407.75
952,989,860,482,820.75
839,493,284,916,633
483,382,651,916,608
234,194,203,284,228.75
242,335,731,598,476.5
288,692,141,662,445.75
736,659,850,619,716
767,555,248,115,421.25
111,572,135,793,402.75
241,875,741,344,550.25
279,583,226,138,306.5
865,204,78,968,528.75
589,156,691,643,519.75
291,604,784,688,591.75
895,485,975,458,703.25
90,622,426,860,499.5
496,830,445,514,571.25
439,341,996,515,572.75
622,751,825,308,626.5
271,694,214,734,478.25
679,380,387,606,513
994,269,884,271,604.5
572,457,475,432,484
314,768,784,942,702
467,224,851,291,458.25
426,758,274,846,576
966,794,108,66,483.5
692,391,891,911,721.25
695,916,157,213,495.25
293,882,963,29,541.75
681,924,500,91,549
799,137,675,531,535.5
774,566,911,373,656
57,258,670,131,279
700,977,261,812,687.5
595,691,995,166,611.75
651,859,142,427,519.75
211,86,785,98,295
785,132,286,359,390.5
249,180,857,421,426.75
777,357,128,683,486.25
530,546,701,929,676.5
548,22,472,872,478.5
572,606,162,664,501
556,287,295,335,368.25
178,918,756,709,640.25
581,635,900,478,648.5
338,714,73,385,377.5
699,495,720,326,560
32,515,916,926,597.25
711,283,872,693,639.75
960,169,196,842,541.75
436,828,595,485,586
63,91,731,425,327.5
742,358,501,680,570.25
38,348,972,561,479.75
194,520,388,950,513
885,531,480,32,482
18,340,461,623,360.5
458,460,469,808,548.75
58,565,528,999,537.5
906,707,925,916,863.5
525,778,866,166,583.75
862,4,483,621,492.5
462,618,521,843,611
814,319,387,880,600
341,792,386,6,381.25
360,29,884,275,387
313,849,238,512,478
220,606,217,275,329.5
389,669,560,827,611.25
142,836,771,817,641.5
809,155,697,607,567
951,87,968,769,693.75
114,791,605,896,601.5
241,800,512,199,438
855,427,926,499,676.75
542,732,999,709,745.5
792,728,88,703,577.75
949,477,433,812,667.75
254,147,943,968,578
582,342,437,189,387.5
386,994,670,310,590
877,221,145,28,317.75
257,585,243,581,416.5
472,993,657,112,558.5
180,416,729,238,390.75
853,998,693,385,732.25
789,562,765,583,674.75
515,858,587,623,645.75
116,689,44,282,282.75
149,898,573,85,426.25
100,440,495,406,360.25
409,108,792,938,561.75
479,957,701,521,664.5
300,593,985,442,580
45,477,804,754,520
898,917,715,246,694
168,115,813,12,277
910,473,163,116,415.5
589,59,507,713,467
461,783,859,883,746.5
897,689,970,398,738.5
529,928,32,254,435.75
39,915,410,770,533.5
779,456,316,526,519.25
327,306,965,125,430.75
375,591,778,839,645.75
476,135,918,323,463
486,596,793,833,677
990,535,0,100,406.25
711,31,834,689,566.25
160,837,604,304,476.25
899,467,828,22,554
465,218,210,534,356.75
393,962,494,603,613
279,542,153,786,440
671,526,460,967,656
87,231,990,273,395.25
492,167,672,70,350.25
335,627,290,506,439.5
45,316,407,774,385.5
435,901,316,173,456.25
599,383,401,580,490.75
868,22,740,604,558.5
501,320,193,830,461
553,864,999,578,748.5
980,172,396,550,524.5
810,520,158,640,532
487,78,172,852,397.25
726,108,36,701,392.75
532,762,84,424,450.5
533,834,361,354,520.5
20,165,858,616,414.75
402,674,682,966,681
247,640,566,896,587.25
903,73,710,540,556.5
866,606,516,197,546.25
334,349,667,120,367.5
273,324,557,521,418.75
